Supplier_Name,Issue_Details,Date_Reported
Supplier 1,Failed quality test,2023-12-01
Supplier 2,Unauthorized ingredients,2023-12-02
Supplier 3,Delayed compliance report,2023-12-03
Supplier 4,Failed quality test,2023-12-04
Supplier 5,Unauthorized ingredients,2023-12-05
Supplier 6,Delayed compliance report,2023-12-06
Supplier 7,Failed quality test,2023-12-07
Supplier 8,Unauthorized ingredients,2023-12-08
Supplier 9,Delayed compliance report,2023-12-09
Supplier 10,Failed quality test,2023-12-10
Supplier 11,Unauthorized ingredients,2023-12-11
Supplier 12,Delayed compliance report,2023-12-12
Supplier 13,Failed quality test,2023-12-13
Supplier 14,Unauthorized ingredients,2023-12-14
Supplier 15,Delayed compliance report,2023-12-15
Supplier 16,Failed quality test,2023-12-16
Supplier 17,Unauthorized ingredients,2023-12-17
Supplier 18,Delayed compliance report,2023-12-18
Supplier 19,Failed quality test,2023-12-19
Supplier 20,Unauthorized ingredients,2023-12-20
